catalog_source	assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	asm_submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	excluded_from_refseq	relation_to_type_material	asm_not_live_date	assembly_type	group	genome_size	genome_size_ungapped	gc_percent	replicon_count	scaffold_count	contig_count	annotation_provider	annotation_name	annotation_date	total_gene_count	protein_coding_gene_count	non_coding_gene_count	pubmed_id
refseq_fungi	GCF_041956525.1	PRJNA1175690	SAMN39447127	JAZGQV000000000.1	reference genome	4840	4840	Rhizomucor pusillus	strain=CBS 183.67	na	latest	Scaffold	Major	Full	2024-09-16	Rhipu1	DOE Joint Genome Institute	GCA_041956525.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/041/956/525/GCF_041956525.1_Rhipu1/	na	na	na	haploid	fungi	25384556	24979024	45.000000	0	48	437	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2024-10-23	11084	10974	110	39266695
refseq_fungi	GCF_000002945.2	PRJNA127	SAMEA3138176	na	reference genome	4896	4896	Schizosaccharomyces pombe	strain=972h-	na	latest	Chromosome	Major	Full	2019-07-23	ASM294v3	S. pombe European Sequencing Consortium (EUPOM)	GCA_000002945.3	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/002/945/GCF_000002945.2_ASM294v3/	na	na	na	haploid	fungi	12571820	12571420	36.000000	3	3	7	PomBase	Annotation submitted by PomBase	2024-08-16	12645	5124	7489	2446871;2780299;4046021;6092057;11859360;15811919
refseq_fungi	GCF_001661405.1	PRJNA374042	SAMN02616005	LTAD00000000.1	reference genome	4903	4903	Williopsis jadinii	strain=NRRL Y-1542	na	latest	Scaffold	Major	Full	2016-09-15	Cybja1	DOE Joint Genome Institute	GCA_001661405.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/405/GCF_001661405.1_Cybja1/	na	assembly from type material	na	haploid	fungi	13018415	12757021	44.500000	0	76	392	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2025-07-15	6184	6032	152	27535936
refseq_fungi	GCF_003054445.1	PRJNA545694	SAMN08558011	na	reference genome	4909	4909	Pichia kudriavzevii	strain=CBS573	na	latest	Complete Genome	Major	Full	2018-04-17	ASM305444v1	University College Dublin	GCA_003054445.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/054/445/GCF_003054445.1_ASM305444v1/	na	assembly from heterotypic synonym type material	na	haploid	fungi	10812555	10812555	38.500000	5	5	5	University College Dublin	Annotation submitted by University College Dublin	2019-06-16	5324	5139	185	na
refseq_fungi	GCF_001661255.1	PRJNA352844	SAMN00138384	LWUN00000000.1	reference genome	4927	4927	Hansenula anomala	strain=NRRL Y-366-8	na	latest	Scaffold	Major	Full	2016-09-09	Wican1	JGI-PSF	GCA_001661255.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/661/255/GCF_001661255.1_Wican1/	na	na	na	haploid	fungi	14145566	13720216	34.500000	0	46	222	JGI-PSF	Annotation submitted by JGI-PSF	2025-07-15	6571	6417	154	27535936
refseq_fungi	GCF_000243375.1	PRJNA79345	SAMEA2272433	na	reference genome	4950	4950	Torulaspora delbrueckii	strain=type strain:CBS 1146	na	latest	Chromosome	Major	Full	2011-12-08	ASM24337v1	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	GCA_000243375.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/243/375/GCF_000243375.1_ASM24337v1/	na	assembly designated as neotype	na	haploid	fungi	9220678	9218568	42.000000	8	8	34	Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	Annotation submitted by Wolfe Laboratory, Smurfit Institute of Genetics, Trinity College Dublin, Ireland	2025-07-15	5174	4970	204	22123960
refseq_fungi	GCF_001761485.1	PRJNA1159202	SAMN04088558	na	reference genome	4952	4952	Yarrowia lipolytica	strain=CLIB89(W29)	na	latest	Complete Genome	Major	Full	2016-10-12	ASM176148v1	University of California, Irvine	GCA_001761485.1	different	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/761/485/GCF_001761485.1_ASM176148v1/	na	na	na	haploid	fungi	20500066	20500066	49.000000	6	6	6	University of California, Irvine	Annotation submitted by University of California, Irvine	2024-09-10	8689	7918	652	27603307
refseq_fungi	GCF_000026365.1	PRJNA39573	SAMEA3138235	na	reference genome	4956	4956	Zygosaccharomyces rouxii	strain=CBS 732	na	latest	Chromosome	Major	Full	2009-06-05	ASM2636v1	Genolevures Consortium	GCA_000026365.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/365/GCF_000026365.1_ASM2636v1/	na	assembly from type material	na	haploid	fungi	9764635	9763366	39.000000	7	7	9	Genolevures Consortium	Annotation submitted by Genolevures Consortium	2025-07-15	5323	4991	332	19525356
refseq_fungi	GCF_025882075.1	PRJNA926498	SAMN26195980	JAKWFO000000000.1	reference genome	4972	4972	Dioszegia hungarica	strain=PDD-24b-2	na	latest	Contig	Major	Full	2022-10-28	ASM2588207v1	Universite de Strasbourg	GCA_025882075.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/025/882/075/GCF_025882075.1_ASM2588207v1/	na	na	na	haploid	fungi	20956552	20956552	57.000000	0	16	16	Universite de Strasbourg	Annotation submitted by Universite de Strasbourg	2023-01-27	8321	8234	83	36259934
refseq_fungi	GCF_002102565.1	PRJNA396742	SAMN05445367	NBSH00000000.1	reference genome	4999	4999	Kockovaella imperatae	strain=NRRL Y-17943	na	latest	Contig	Major	Full	2017-04-20	Kocim1	DOE Joint Genome Institute	GCA_002102565.1	identical	https://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/102/565/GCF_002102565.1_Kocim1/	na	na	na	haploid	fungi	17465713	17465713	52.000000	0	38	38	DOE Joint Genome Institute	Annotation submitted by DOE Joint Genome Institute	2017-08-28	7428	7392	32	na
